src_url,src_status_code,n_sub_req,final_url,final_status_code,resp_content_len
http://oeconomia.revues.org/,301,2,https://journals.openedition.org/oeconomia/,200,22292
http://www.swsc-journal.org/,301,1,https://www.swsc-journal.org/,200,8865
http://ateliers.revues.org/,301,2,https://journals.openedition.org/ateliers/,200,26285
http://www.bio-conferences.org/,301,1,https://www.bio-conferences.org/,200,7678
http://comicalites.revues.org/,301,2,https://journals.openedition.org/comicalites/,200,21787
http://www.europeanjournaloftaxonomy.eu/index.php/ejt,302,2,https://europeanjournaloftaxonomy.eu/index.php/ejt,200,6213
http://aemjournal.org/,302,1,http://aemjournal.org/index.php/AEM,200,7316
https://www.ajol.info/index.php/iijikm/about,200,0,https://www.ajol.info/index.php/iijikm/about,200,6694
http://colombiaforense.ucc.edu.co,,,,,
http://www.revistas.unal.edu.co/index.php/historelo,,,,,
https://revistas.usantotomas.edu.co/index.php/signos/index,200,0,https://revistas.usantotomas.edu.co/index.php/signos/index,200,9677
https://journal.universidadean.edu.co/index.php/revistai/index,200,0,https://journal.universidadean.edu.co/index.php/revistai/index,200,11119
http://www.uexternado.edu.co/derechoadministrativo,301,2,https://revistas.uexternado.edu.co/index.php/Deradm,200,14998
http://revistas.ucatolicaluisamigo.edu.co/index.php/lampsakos/index,302,1,https://revistas.ucatolicaluisamigo.edu.co/index.php/lampsakos/index,200,
http://trilogia.itm.edu.co/,301,2,https://revistas.itm.edu.co/index.php/trilogia/index/,200,7717
http://revistas.urosario.edu.co/index.php/economia/index,302,1,https://revistas.urosario.edu.co/index.php/economia/index,200,34864
http://revistas.udistrital.edu.co/ojs/index.php/GDLA/index,302,1,https://revistas.udistrital.edu.co/index.php/GDLA/index,200,13490
http://www.revistas.unal.edu.co/index.php/imanimundo/,,,,,
http://revistas.unisimon.edu.co/index.php/desarrollogerencial,301,1,https://revistas.unisimon.edu.co/index.php/desarrollogerencial,200,
https://revistalogos.policia.edu.co:8443/index.php/rlct,200,0,https://revistalogos.policia.edu.co:8443/index.php/rlct,200,
https://revistas.unicartagena.edu.co/index.php/marioalariodfilippo,200,0,https://revistas.unicartagena.edu.co/index.php/marioalariodfilippo,200,13314
http://hemeroteca.unad.edu.co/index.php/riaa,302,1,https://hemeroteca.unad.edu.co/index.php/riaa,200,8909
http://revlatinofamilia.ucaldas.edu.co,,,,,
https://revistas.unab.edu.co/index.php/laterceraorilla,200,0,https://revistas.unab.edu.co/index.php/laterceraorilla,200,
https://ojs.tdea.edu.co/index.php/senderos/index,200,0,https://ojs.tdea.edu.co/index.php/senderos/index,200,32444
http://revistas.curn.edu.co/index.php/hexagonopedagogico/index,302,1,https://revistas.curn.edu.co/index.php/hexagonopedagogico/index,200,
https://revistas.uniandes.edu.co/journal/perifrasis,301,1,https://revistas.uniandes.edu.co/index.php/perifrasis,200,5729
https://revistascientificas.cuc.edu.co/culturaeducacionysociedad/issue/view/158,200,0,https://revistascientificas.cuc.edu.co/culturaeducacionysociedad/issue/view/158,200,
http://revistas.ustatunja.edu.co/index.php/ingeniomagno,200,0,http://revistas.ustatunja.edu.co/index.php/ingeniomagno,200,
http://dergipark.gov.tr/aubtdc,301,1,http://dergipark.gov.tr/tr/pub/aubtdc,404,594
http://dergipark.gov.tr/aubtdb,301,1,http://dergipark.gov.tr/tr/pub/aubtdb,404,594
http://www.sobiad.org/eJOURNALS/journal_IJEBEG/index.html,301,2,https://sobiad.org/eJOURNALS/journal_IJEBEG/index.html/,200,15795
http://ijocta.org/,301,2,https://ijocta.org/index.php/files,200,
https://dergipark.org.tr/en/pub/inuhfd,200,0,https://dergipark.org.tr/en/pub/inuhfd,200,
http://jaem.isikun.edu.tr/,200,0,http://jaem.isikun.edu.tr/,200,255
http://www.caybdergi.com/home/,301,1,https://www.caybdergi.com/home/,200,
https://iupress.istanbul.edu.tr/en/journal/cons/home,,,,,
http://www.balkanmedicaljournal.org/index.php,200,0,http://www.balkanmedicaljournal.org/index.php,200,
https://dergipark.org.tr/en/pub/klujfeas,200,0,https://dergipark.org.tr/en/pub/klujfeas,200,
http://www.tuzed.org/,200,0,http://www.tuzed.org/,200,
http://www.econjournals.com/index.php/ijefi,302,1,https://www.econjournals.com/index.php/ijefi,200,
https://econjournals.com/index.php/irmm,200,0,https://econjournals.com/index.php/irmm,200,
https://www.econjournals.com/index.php/ijeep,200,0,https://www.econjournals.com/index.php/ijeep,200,
https://dergipark.org.tr/en/pub/adamakademi,200,0,https://dergipark.org.tr/en/pub/adamakademi,200,
https://dergipark.org.tr/en/pub/tojdac,200,0,https://dergipark.org.tr/en/pub/tojdac,200,
http://www.ated.info.tr/,301,2,https://www.ated.info.tr/ojs-3.2.1-3/index.php/ated,200,
http://www.turkishjic.org/,301,1,https://www.turkishjic.org/,200,
http://dergipark.gov.tr/artvinofd,301,1,http://dergipark.gov.tr/tr/pub/artvinofd,404,594
http://insanvetoplum.org/en,301,1,https://insanvetoplum.org/en,200,10929
http://www.ejmaces.com/,301,1,https://www.ejmaces.com/,200,
http://www.jcbpr.org/,301,1,https://www.jcbpr.org/,200,6463
http://www.ijiss.org/,301,2,https://www.ijiss.org/ijiss/index.php/ijiss,200,5769
http://www.jtee.org/,200,0,http://www.jtee.org/,200,20375
http://kutaksam.karabuk.edu.tr/index.php,302,1,http://kutaksam.karabuk.edu.tr/index.php/ilk,200,15878
http://www.medicinescience.org/,301,1,https://www.medicinescience.org/,200,
http://www.edupij.com/,302,1,https://www.edupij.com/,200,
http://medicaljournal.gazi.edu.tr/index.php/GMJ,503,0,http://medicaljournal.gazi.edu.tr/index.php/GMJ,503,3574
http://www.turkosteoporozdergisi.org/,301,1,https://www.turkosteoporozdergisi.org/,200,
http://www.turje.org/,301,1,https://dergipark.org.tr/en/pub/turje,200,
http://www.jemsjournal.org/,301,3,https://jemsjournal.org/,200,
http://ejfm.trakya.edu.tr/,,,,,
http://ejss.fesss.org/,200,0,http://ejss.fesss.org/,200,33834
https://www.ssbfnet.com/ojs/index.php/ijrbs/index,200,0,https://www.ssbfnet.com/ojs/index.php/ijrbs/index,200,
https://dergipark.org.tr/en/pub/tuhed,200,0,https://dergipark.org.tr/en/pub/tuhed,200,
http://iletisimdergisi.hacibayram.edu.tr,,,,,
http://www.anadiliegitimi.com/,301,2,https://www.anadiliegitimi.com/tr/,200,
http://www.nesnedergisi.com/,301,1,https://www.nesnedergisi.com/,200,22662
http://www.mjima.org/,301,1,https://www.mjima.org/,200,
https://dergipark.org.tr/en/pub/gaziaot,200,0,https://dergipark.org.tr/en/pub/gaziaot,200,
https://iupress.istanbul.edu.tr/en/journal/avid/home,,,,,
http://www.sanategitimidergisi.com/,301,1,https://www.sanategitimidergisi.com/,200,23785
https://dergipark.org.tr/en/pub/iicder,200,0,https://dergipark.org.tr/en/pub/iicder,200,
http://www.ankaradergisi.org/,301,3,https://ankaradergisi.org/,200,
http://www.foodandagriculturejournal.com/,,,,,
http://www.ahtrjournal.org/,200,0,http://www.ahtrjournal.org/,200,4011
http://iconarp.ktun.edu.tr/iconarp,301,2,https://iconarp.ktun.edu.tr/index.php/iconarp,200,8849
http://www.jpedres.org/home/,301,1,https://www.jpedres.org/home/,200,
https://dergipark.org.tr/en/pub/gujsc,200,0,https://dergipark.org.tr/en/pub/gujsc,200,
https://dergipark.org.tr/en/pub/masteb,200,0,https://dergipark.org.tr/en/pub/masteb,200,
http://www.eurjrheumatol.org/,301,1,https://www.eurjrheumatol.org/,200,
https://science-res.com/index.php/jsmula,200,0,https://science-res.com/index.php/jsmula,200,
http://www.ulakbilge.com/,301,1,https://www.ulakbilge.com/,200,20939
http://www.kalemisidergisi.com/,301,1,https://www.kalemisidergisi.com/,200,22583
http://canakkalearastirmalari.comu.edu.tr/index,301,1,https://canakkalearastirmalari.comu.edu.tr/index,200,7793
http://agrifoodscience.com/index.php/TURJAF/index,200,0,http://agrifoodscience.com/index.php/TURJAF/index,200,
http://jtsm.org/,301,1,https://jtsm.org/,200,
http://science-res.com/index.php/jclad,301,1,https://science-res.com/index.php/jclad,200,
http://www.alphanumericjournal.com/,301,1,https://www.alphanumericjournal.com/,200,6069
http://iojet.org/index.php/IOJET/index,301,1,https://iojet.org/index.php/IOJET/index,200,
http://dergipark.gov.tr/tutad,301,1,http://dergipark.gov.tr/tr/pub/tutad,404,594
http://bezmialemscience.org/,301,1,https://bezmialemscience.org/,200,
http://dergipark.gov.tr/dubited,301,1,http://dergipark.gov.tr/tr/pub/dubited,404,594
http://www.enadonline.com/index.php,302,2,https://www.enadonline.com/index.php/enad,200,
http://dergipark.gov.tr/maeusabed,301,1,http://dergipark.gov.tr/tr/pub/maeusabed,404,594
http://sobild.ankara.edu.tr/,302,1,http://sobild.ankara.edu.tr/index.php/sobild,200,6565
https://iupress.istanbul.edu.tr/en/journal/art-sanat/home,,,,,
http://www.eurasianjpulmonol.com/aboutus.asp,,,,,
http://dergipark.gov.tr/ecjse,301,1,http://dergipark.gov.tr/tr/pub/ecjse,404,594
https://tujise.org/,200,0,https://tujise.org/,200,8951
https://iupress.istanbul.edu.tr/en/journal/jepr/home,,,,,
http://nalans.com/,302,1,http://nalans.com/index.php/nalans,200,5400
https://dergipark.org.tr/en/pub/uumfd,200,0,https://dergipark.org.tr/en/pub/uumfd,200,
http://dergipark.gov.tr/optimum,301,1,http://dergipark.gov.tr/tr/pub/optimum,404,594
